empresa;codigoarticulo;codigoparticular;articulo;rubro;costo;preciopublico;marca;superrubro;gruposuperrubro;familia;ult_fechaingreso;color;silueta;sitioparapublicar;porcentajedescuento;web
Construmax;19;380488577-2;Brocas Modelo 301;Accesorios de Construcción;386.61;562.51;PowerFix;Hogar;Seguridad;Acero;30/1/2024;Amarillo;Brocas;;23.0;
MaxPro SRL;20;022871299-8;Martillo Modelo 772;Fijaciones y Anclajes;140.63;243.18;TitanTools;Hogar;Neumática;Plástico;18/2/2024;Naranja;Martillo;;28.0;
MaxPro SRL;21;243961690-7;Nivel Modelo 541;Accesorios de Construcción;215.81;381.63;Construtek;Profesional;Seguridad;Acero;21/6/2024;Rojo;Nivel;;;
Construmax;22;061313152-5;Casco de seguridad Modelo 246;Herramientas Eléctricas;222.59;433.65;PowerFix;Hogar;Manual;Madera;29/12/2024;Azul;Casco de seguridad;;;
MaxPro SRL;23;366451144-1;Clavos Modelo 150;Herramientas Manuales;347.16;679.96;Structo;Profesional;Manual;Aluminio;16/7/2024;Rojo;Clavos;;44.0;
MaxPro SRL;24;954717269-7;Casco de seguridad Modelo 477;Herramientas Manuales;432.46;527.41;Renova;Profesional;Manual;Aluminio;24/2/2024;Rojo;Casco de seguridad;;;
Construmax;25;780192867-9;Nivel Modelo 658;Equipos de Seguridad;238.06;378.28;MegaTool;Hogar;Neumática;Madera;19/9/2024;Verde;Nivel;;1.0;
Construmax;26;118413385-9;Martillo Modelo 469;Herramientas Manuales;283.77;460.25;FerroMax;Hogar;Seguridad;Madera;30/8/2024;Rojo;Martillo;;;
MaxPro SRL;27;186842568-1;Cutter Modelo 579;Fijaciones y Anclajes;177.86;295.39;Structo;Profesional;Medición;Aluminio;6/10/2024;Blanco;Cutter;;4.0;
Construmax;28;378340684-6;Espátula Modelo 799;Equipos de Seguridad;25.93;38.15;BuildPro;Hogar;Manual;Madera;24/2/2024;Amarillo;Espátula;;;
MaxPro SRL;29;784226565-8;Pinza Modelo 125;Fijaciones y Anclajes;90.32;123.31;FerroMax;Hogar;Seguridad;Acero;17/9/2024;Azul;Pinza;;;
Construmax;30;204747896-0;Cinta métrica Modelo 351;Accesorios de Construcción;181.51;258.74;HardyWorks;Profesional;Seguridad;Goma;22/1/2024;Naranja;Cinta métrica;;;
MaxPro SRL;31;724243147-6;Casco de seguridad Modelo 388;Fijaciones y Anclajes;82.45;134.06;PowerFix;Profesional;Medición;Aluminio;29/1/2024;Rojo;Casco de seguridad;;2.0;
Construmax;32;840152202-1;Sierra Modelo 364;Herramientas Eléctricas;50.2;95.65;BuildPro;Hogar;Seguridad;Acero;9/9/2024;Blanco;Sierra;;;
MaxPro SRL;33;633068701-3;Martillo Modelo 742;Herramientas Manuales;150.44;238.91;TitanTools;Hogar;Seguridad;Aluminio;6/5/2024;Azul;Martillo;;;
MaxPro SRL;34;329260954-2;Taladro Modelo 234;Herramientas Manuales;120.36;198.57;TitanTools;Hogar;Neumática;Aluminio;17/7/2024;Negro;Taladro;;;
Construmax;35;954529232-6;Guantes Modelo 795;Fijaciones y Anclajes;236.74;335.85;FixMaster;Hogar;Neumática;Aluminio;17/5/2024;Amarillo;Guantes;;;
MaxPro SRL;36;194335112-0;Brocas Modelo 100;Herramientas Manuales;485.51;941.37;PowerFix;Hogar;Seguridad;Madera;11/4/2024;Negro;Brocas;;45.0;
MaxPro SRL;37;376936850-9;Llave inglesa Modelo 367;Herramientas Manuales;129.09;171.28;BuildPro;Hogar;Neumática;Goma;2/8/2024;Azul;Llave inglesa;;;
MaxPro SRL;38;906662294-6;Pinza Modelo 182;Equipos de Seguridad;402.04;749.87;TitanTools;Hogar;Medición;Acero;22/12/2024;Amarillo;Pinza;;;
MaxPro SRL;39;464097279-2;Cinta métrica Modelo 687;Herramientas Manuales;89.54;167.38;FixMaster;Hogar;Eléctrica;Madera;3/12/2024;Amarillo;Cinta métrica;;;
Construmax;40;781180293-7;Nivel Modelo 435;Accesorios de Construcción;269.6;358.75;Renova;Profesional;Seguridad;Aluminio;5/6/2024;Amarillo;Nivel;;;
Construmax;41;638836646-5;Pinza Modelo 929;Herramientas Eléctricas;340.72;545.74;HardyWorks;Profesional;Eléctrica;Madera;19/5/2024;Negro;Pinza;;;
MaxPro SRL;42;287422385-9;Sierra Modelo 382;Equipos de Seguridad;120.18;207.85;TitanTools;Hogar;Neumática;Plástico;22/3/2024;Blanco;Sierra;;;
MaxPro SRL;43;936689876-9;Tornillos Modelo 746;Fijaciones y Anclajes;193.22;379.13;MegaTool;Hogar;Neumática;Acero;9/5/2024;Verde;Tornillos;;;
Construmax;44;494000004-4;Taladro Modelo 506;Accesorios de Construcción;162.73;243.57;MegaTool;Hogar;Manual;Acero;16/11/2024;Naranja;Taladro;;40.0;
MaxPro SRL;45;472523557-1;Cinta métrica Modelo 790;Herramientas Manuales;284.64;369.05;FerroMax;Profesional;Eléctrica;Madera;24/2/2024;Gris;Cinta métrica;;;
Construmax;46;308651802-2;Llave inglesa Modelo 349;Herramientas Manuales;68.82;93.63;FerroMax;Profesional;Neumática;Goma;12/10/2024;Blanco;Llave inglesa;;26.0;
Construmax;47;893637173-8;Pinza Modelo 453;Equipos de Seguridad;151.82;204.66;Construtek;Hogar;Neumática;Goma;22/5/2024;Azul;Pinza;;;
MaxPro SRL;48;125121246-8;Guantes Modelo 111;Fijaciones y Anclajes;168.07;332.75;Renova;Profesional;Seguridad;Madera;12/6/2024;Verde;Guantes;;;
Construmax;49;366023302-1;Espátula Modelo 547;Herramientas Eléctricas;113.59;138.56;Structo;Profesional;Eléctrica;Goma;7/6/2024;Blanco;Espátula;;;
MaxPro SRL;50;569484750-4;Tornillos Modelo 764;Accesorios de Construcción;11.07;17.51;FixMaster;Hogar;Seguridad;Madera;16/8/2024;Blanco;Tornillos;;;
MaxPro SRL;51;750077709-4;Guantes Modelo 813;Fijaciones y Anclajes;484.26;799.69;PowerFix;Profesional;Manual;Goma;28/5/2024;Amarillo;Guantes;;;
Construmax;52;215579979-9;Destornillador Modelo 526;Herramientas Eléctricas;90.67;168.13;FixMaster;Profesional;Eléctrica;Goma;23/11/2024;Naranja;Destornillador;;50.0;
MaxPro SRL;53;658335650-3;Taladro Modelo 476;Equipos de Seguridad;381.15;577.07;FerroMax;Profesional;Neumática;Goma;11/8/2024;Verde;Taladro;;;
Construmax;54;547110613-X;Espátula Modelo 718;Herramientas Manuales;488.8;920.74;TitanTools;Profesional;Medición;Goma;20/3/2024;Azul;Espátula;;;
MaxPro SRL;55;993262171-4;Casco de seguridad Modelo 431;Fijaciones y Anclajes;435.8;692.38;Structo;Profesional;Eléctrica;Goma;30/9/2024;Negro;Casco de seguridad;;;
Construmax;56;246562491-1;Martillo Modelo 703;Accesorios de Construcción;383.68;520.92;PowerFix;Profesional;Eléctrica;Goma;14/7/2024;Naranja;Martillo;;;
Construmax;57;705030141-8;Espátula Modelo 769;Accesorios de Construcción;120.92;227.61;BuildPro;Profesional;Seguridad;Plástico;27/4/2024;Rojo;Espátula;;;
MaxPro SRL;58;377682933-8;Destornillador Modelo 995;Accesorios de Construcción;166.01;266.21;TitanTools;Hogar;Neumática;Madera;10/5/2024;Negro;Destornillador;;;
Construmax;59;265488830-4;Brocas Modelo 936;Accesorios de Construcción;136.14;211.69;Renova;Hogar;Medición;Goma;24/6/2024;Naranja;Brocas;;;
Construmax;60;258700130-7;Martillo Modelo 166;Accesorios de Construcción;64.04;79.33;PowerFix;Hogar;Manual;Madera;29/4/2024;Verde;Martillo;;;
Construmax;61;395596398-5;Destornillador Modelo 768;Herramientas Eléctricas;348.13;494.29;BuildPro;Hogar;Eléctrica;Plástico;8/10/2024;Naranja;Destornillador;;;
MaxPro SRL;62;330833117-9;Destornillador Modelo 649;Fijaciones y Anclajes;437.83;869.04;MegaTool;Hogar;Neumática;Goma;22/8/2024;Blanco;Destornillador;;;
MaxPro SRL;63;263421367-0;Cutter Modelo 525;Herramientas Eléctricas;235.55;287.99;PowerFix;Hogar;Medición;Goma;5/10/2024;Blanco;Cutter;;;
MaxPro SRL;64;782783134-6;Brocas Modelo 396;Accesorios de Construcción;280.2;436.66;Construtek;Hogar;Manual;Plástico;10/11/2024;Verde;Brocas;;;
Construmax;65;604505944-1;Sierra Modelo 127;Accesorios de Construcción;33.52;48.75;FerroMax;Profesional;Neumática;Acero;15/10/2024;Rojo;Sierra;;;
Construmax;66;681913453-3;Brocas Modelo 327;Herramientas Eléctricas;93.59;112.71;Structo;Profesional;Eléctrica;Aluminio;28/2/2024;Amarillo;Brocas;;;
MaxPro SRL;67;695377387-1;Martillo Modelo 781;Herramientas Eléctricas;496.41;783.1;FerroMax;Profesional;Medición;Madera;5/9/2024;Rojo;Martillo;;;
MaxPro SRL;68;093482139-9;Llave inglesa Modelo 878;Equipos de Seguridad;439.22;766.7;TitanTools;Profesional;Medición;Aluminio;21/1/2024;Amarillo;Llave inglesa;;4.0;
Construmax;69;680096173-6;Pinza Modelo 910;Herramientas Eléctricas;482.61;884.59;Structo;Hogar;Neumática;Aluminio;22/6/2024;Verde;Pinza;;;
Construmax;70;285272728-5;Destornillador Modelo 709;Accesorios de Construcción;63.03;97.61;FixMaster;Hogar;Neumática;Aluminio;28/8/2024;Verde;Destornillador;;;
Construmax;71;439953290-4;Cinta métrica Modelo 928;Accesorios de Construcción;292.89;542.65;BuildPro;Hogar;Medición;Goma;24/12/2024;Verde;Cinta métrica;;;
Construmax;72;802355334-8;Casco de seguridad Modelo 503;Equipos de Seguridad;100.34;189.45;BuildPro;Profesional;Neumática;Plástico;27/5/2024;Amarillo;Casco de seguridad;;;
Construmax;73;802049483-9;Llave inglesa Modelo 300;Herramientas Eléctricas;99.33;198.11;Construtek;Profesional;Manual;Madera;24/1/2024;Rojo;Llave inglesa;;42.0;
Construmax;74;499439460-1;Nivel Modelo 142;Accesorios de Construcción;198.0;284.16;TitanTools;Profesional;Neumática;Plástico;19/12/2024;Rojo;Nivel;;;
Construmax;75;295712580-3;Martillo Modelo 215;Herramientas Manuales;98.42;151.77;PowerFix;Profesional;Medición;Plástico;27/3/2024;Negro;Martillo;;;
Construmax;76;890786912-X;Taladro Modelo 168;Accesorios de Construcción;334.68;635.77;MegaTool;Profesional;Seguridad;Aluminio;12/2/2024;Blanco;Taladro;;;
MaxPro SRL;77;553151547-2;Casco de seguridad Modelo 202;Equipos de Seguridad;354.99;430.42;FixMaster;Profesional;Neumática;Madera;20/4/2024;Negro;Casco de seguridad;;;
Construmax;78;329633900-0;Nivel Modelo 799;Fijaciones y Anclajes;302.03;568.79;BuildPro;Hogar;Medición;Goma;12/6/2024;Amarillo;Nivel;;;
Construmax;79;449069231-5;Pinza Modelo 536;Accesorios de Construcción;410.86;606.25;Renova;Hogar;Seguridad;Goma;30/11/2024;Azul;Pinza;;;
Construmax;80;393445888-2;Pinza Modelo 819;Equipos de Seguridad;113.47;195.5;Construtek;Hogar;Neumática;Madera;8/8/2024;Naranja;Pinza;;;
MaxPro SRL;81;316734277-3;Brocas Modelo 659;Accesorios de Construcción;143.3;191.28;BuildPro;Profesional;Eléctrica;Plástico;20/8/2024;Naranja;Brocas;;;
Construmax;82;274708645-3;Martillo Modelo 640;Accesorios de Construcción;32.27;49.95;HardyWorks;Hogar;Neumática;Plástico;25/4/2024;Naranja;Martillo;;;
Construmax;83;111000518-0;Guantes Modelo 889;Herramientas Manuales;85.05;137.45;Structo;Hogar;Seguridad;Goma;17/5/2024;Verde;Guantes;;;
MaxPro SRL;84;382920074-9;Sierra Modelo 529;Equipos de Seguridad;78.64;97.33;HardyWorks;Hogar;Seguridad;Madera;1/6/2024;Gris;Sierra;;;
MaxPro SRL;85;229074161-2;Brocas Modelo 868;Herramientas Manuales;403.92;549.9;HardyWorks;Hogar;Medición;Madera;17/9/2024;Gris;Brocas;;17.0;
Construmax;86;674367527-X;Brocas Modelo 142;Fijaciones y Anclajes;359.67;640.84;FerroMax;Profesional;Seguridad;Goma;24/6/2024;Rojo;Brocas;;;
MaxPro SRL;87;314187053-5;Guantes Modelo 340;Herramientas Manuales;257.12;467.16;BuildPro;Profesional;Medición;Acero;29/3/2024;Negro;Guantes;;;
MaxPro SRL;88;025276845-0;Destornillador Modelo 374;Fijaciones y Anclajes;120.63;190.53;TitanTools;Hogar;Neumática;Madera;1/9/2024;Gris;Destornillador;;;
MaxPro SRL;89;069135474-X;Martillo Modelo 991;Fijaciones y Anclajes;389.23;706.59;HardyWorks;Profesional;Medición;Madera;17/11/2024;Azul;Martillo;;;
Construmax;90;970625599-0;Llave inglesa Modelo 134;Herramientas Eléctricas;140.43;178.86;Construtek;Hogar;Medición;Madera;3/4/2024;Verde;Llave inglesa;;7.0;
MaxPro SRL;91;788394317-0;Espátula Modelo 761;Fijaciones y Anclajes;146.24;190.38;Renova;Hogar;Medición;Aluminio;17/9/2024;Naranja;Espátula;;;
Construmax;92;361086600-4;Pinza Modelo 473;Equipos de Seguridad;481.11;952.49;HardyWorks;Profesional;Medición;Goma;20/12/2024;Rojo;Pinza;;;
Construmax;93;477014506-3;Guantes Modelo 469;Herramientas Eléctricas;191.4;338.96;FerroMax;Profesional;Manual;Plástico;17/8/2024;Naranja;Guantes;;;
Construmax;94;481374134-7;Casco de seguridad Modelo 776;Fijaciones y Anclajes;321.27;571.96;Structo;Hogar;Medición;Goma;11/12/2024;Amarillo;Casco de seguridad;;38.0;
Construmax;95;997676172-4;Llave inglesa Modelo 393;Herramientas Manuales;287.22;375.9;PowerFix;Hogar;Neumática;Plástico;14/4/2024;Gris;Llave inglesa;;11.0;
MaxPro SRL;96;391943566-4;Pinza Modelo 790;Accesorios de Construcción;63.78;93.84;MegaTool;Hogar;Neumática;Aluminio;28/11/2024;Amarillo;Pinza;;18.0;
MaxPro SRL;97;013487401-3;Martillo Modelo 154;Equipos de Seguridad;44.05;74.71;TitanTools;Hogar;Neumática;Aluminio;8/11/2024;Rojo;Martillo;;;
MaxPro SRL;98;657441081-9;Sierra Modelo 904;Herramientas Manuales;398.84;632.46;Renova;Profesional;Medición;Aluminio;10/12/2024;Naranja;Sierra;;;
MaxPro SRL;99;349194528-3;Destornillador Modelo 382;Herramientas Eléctricas;386.56;615.52;PowerFix;Hogar;Neumática;Aluminio;24/10/2024;Naranja;Destornillador;;;
MaxPro SRL;100;540758732-7;Espátula Modelo 602;Equipos de Seguridad;446.2;626.77;Construtek;Profesional;Neumática;Aluminio;16/2/2024;Gris;Espátula;;32.0;
MaxPro SRL;101;302707164-5;Nivel Modelo 275;Fijaciones y Anclajes;256.75;371.05;PowerFix;Hogar;Medición;Acero;2/6/2024;Amarillo;Nivel;;25.0;
Construmax;102;366474344-X;Martillo Modelo 814;Fijaciones y Anclajes;410.51;577.32;TitanTools;Profesional;Neumática;Goma;15/5/2024;Blanco;Martillo;;;
MaxPro SRL;103;615144230-X;Guantes Modelo 581;Herramientas Manuales;56.93;75.68;PowerFix;Profesional;Eléctrica;Aluminio;4/11/2024;Rojo;Guantes;;;
Construmax;104;458649133-7;Espátula Modelo 806;Herramientas Eléctricas;364.32;514.75;MegaTool;Profesional;Medición;Aluminio;11/9/2024;Verde;Espátula;;;
MaxPro SRL;105;907991669-2;Cinta métrica Modelo 873;Equipos de Seguridad;37.68;54.82;PowerFix;Hogar;Seguridad;Goma;18/2/2024;Naranja;Cinta métrica;;1.0;
MaxPro SRL;106;791617075-2;Espátula Modelo 812;Herramientas Manuales;404.96;781.59;HardyWorks;Hogar;Eléctrica;Goma;17/2/2024;Azul;Espátula;;45.0;
Construmax;107;577229339-7;Espátula Modelo 986;Fijaciones y Anclajes;489.1;770.06;MegaTool;Hogar;Seguridad;Madera;22/2/2024;Rojo;Espátula;;;
MaxPro SRL;108;184088793-1;Martillo Modelo 452;Equipos de Seguridad;417.04;805.42;FerroMax;Hogar;Neumática;Goma;14/3/2024;Negro;Martillo;;18.0;
Construmax;109;884625998-X;Destornillador Modelo 353;Herramientas Manuales;45.77;86.51;HardyWorks;Profesional;Seguridad;Madera;27/1/2024;Negro;Destornillador;;;
MaxPro SRL;110;480336184-3;Taladro Modelo 455;Equipos de Seguridad;257.48;342.86;MegaTool;Hogar;Manual;Madera;21/4/2024;Azul;Taladro;;19.0;
MaxPro SRL;111;520043849-7;Tornillos Modelo 539;Fijaciones y Anclajes;308.02;574.3;HardyWorks;Hogar;Neumática;Madera;13/3/2024;Negro;Tornillos;;;
MaxPro SRL;112;971963663-7;Martillo Modelo 474;Herramientas Manuales;435.9;703.48;FerroMax;Profesional;Manual;Goma;4/1/2024;Amarillo;Martillo;;;
MaxPro SRL;113;814007937-5;Martillo Modelo 835;Herramientas Eléctricas;270.25;492.64;FixMaster;Profesional;Eléctrica;Madera;19/2/2024;Amarillo;Martillo;;;
Construmax;114;760145298-0;Clavos Modelo 137;Equipos de Seguridad;31.97;47.06;FerroMax;Hogar;Seguridad;Madera;31/8/2024;Naranja;Clavos;;;
MaxPro SRL;115;294717595-6;Brocas Modelo 438;Herramientas Eléctricas;40.0;52.51;BuildPro;Hogar;Manual;Plástico;4/7/2024;Rojo;Brocas;;;
MaxPro SRL;116;343631208-8;Casco de seguridad Modelo 868;Herramientas Eléctricas;181.72;303.55;Renova;Hogar;Manual;Goma;10/12/2024;Naranja;Casco de seguridad;;;
MaxPro SRL;117;883371219-2;Taladro Modelo 896;Herramientas Eléctricas;221.11;267.54;Structo;Profesional;Manual;Madera;16/6/2024;Negro;Taladro;;;
Construmax;118;604371299-7;Casco de seguridad Modelo 375;Accesorios de Construcción;60.8;79.1;Structo;Hogar;Manual;Plástico;11/11/2024;Azul;Casco de seguridad;;;
Construmax;119;749744352-6;Guantes Modelo 163;Fijaciones y Anclajes;96.62;152.44;HardyWorks;Profesional;Seguridad;Aluminio;5/8/2024;Blanco;Guantes;;;
MaxPro SRL;120;097135112-0;Sierra Modelo 905;Accesorios de Construcción;26.23;39.2;TitanTools;Hogar;Seguridad;Aluminio;11/10/2024;Gris;Sierra;;;
Construmax;121;518942872-9;Taladro Modelo 626;Fijaciones y Anclajes;488.69;659.37;Structo;Profesional;Eléctrica;Aluminio;7/7/2024;Azul;Taladro;;;
Construmax;122;717154654-3;Brocas Modelo 875;Herramientas Manuales;350.65;602.5;Renova;Hogar;Manual;Plástico;26/6/2024;Gris;Brocas;;;
Construmax;123;159426197-0;Cutter Modelo 213;Herramientas Eléctricas;228.88;342.63;Renova;Hogar;Manual;Acero;28/10/2024;Gris;Cutter;;;
Construmax;124;190687922-2;Taladro Modelo 285;Fijaciones y Anclajes;417.62;590.95;PowerFix;Hogar;Neumática;Plástico;10/9/2024;Verde;Taladro;;;
MaxPro SRL;125;230872699-7;Guantes Modelo 503;Equipos de Seguridad;113.78;219.5;TitanTools;Hogar;Eléctrica;Goma;7/1/2024;Verde;Guantes;;14.0;
MaxPro SRL;126;880308809-1;Pinza Modelo 302;Herramientas Manuales;394.93;676.38;TitanTools;Hogar;Seguridad;Aluminio;22/5/2024;Azul;Pinza;;;
MaxPro SRL;127;760389741-6;Cinta métrica Modelo 160;Herramientas Manuales;298.33;363.41;Renova;Hogar;Manual;Goma;10/12/2024;Azul;Cinta métrica;;;
MaxPro SRL;128;863824440-1;Tornillos Modelo 170;Herramientas Manuales;215.88;349.85;Construtek;Hogar;Eléctrica;Goma;30/11/2024;Verde;Tornillos;;2.0;
Construmax;129;237629715-X;Cutter Modelo 645;Herramientas Manuales;316.38;401.97;TitanTools;Profesional;Seguridad;Goma;13/3/2024;Azul;Cutter;;;
Construmax;130;579716555-4;Destornillador Modelo 825;Equipos de Seguridad;20.17;40.18;Renova;Profesional;Seguridad;Aluminio;14/4/2024;Naranja;Destornillador;;;
MaxPro SRL;131;004249225-4;Taladro Modelo 716;Accesorios de Construcción;76.41;129.22;Structo;Hogar;Manual;Madera;8/9/2024;Amarillo;Taladro;;;
MaxPro SRL;132;561953327-1;Cutter Modelo 441;Herramientas Manuales;349.28;427.74;MegaTool;Profesional;Seguridad;Goma;27/7/2024;Verde;Cutter;;;
Construmax;133;879838545-3;Martillo Modelo 875;Equipos de Seguridad;308.38;524.43;BuildPro;Hogar;Manual;Acero;22/4/2024;Azul;Martillo;;;
Construmax;134;517860029-0;Nivel Modelo 907;Accesorios de Construcción;316.98;500.79;FerroMax;Hogar;Eléctrica;Aluminio;1/3/2024;Negro;Nivel;;;
Construmax;135;444936040-0;Nivel Modelo 453;Herramientas Manuales;464.63;837.26;PowerFix;Profesional;Eléctrica;Aluminio;2/12/2024;Blanco;Nivel;;;
MaxPro SRL;136;710489084-X;Sierra Modelo 130;Equipos de Seguridad;109.47;161.98;MegaTool;Hogar;Medición;Goma;1/12/2024;Rojo;Sierra;;7.0;
MaxPro SRL;137;086334507-7;Tornillos Modelo 489;Equipos de Seguridad;106.84;148.76;TitanTools;Profesional;Medición;Madera;21/1/2024;Rojo;Tornillos;;;
MaxPro SRL;138;659052907-8;Cinta métrica Modelo 282;Herramientas Manuales;168.78;322.98;Renova;Hogar;Neumática;Goma;28/8/2024;Blanco;Cinta métrica;;;
MaxPro SRL;139;178032235-6;Martillo Modelo 576;Herramientas Manuales;129.9;240.67;Structo;Profesional;Eléctrica;Acero;16/8/2024;Rojo;Martillo;;2.0;
Construmax;140;350501066-9;Nivel Modelo 379;Herramientas Manuales;184.92;352.09;Structo;Profesional;Manual;Madera;20/12/2024;Naranja;Nivel;;;
MaxPro SRL;141;244819191-3;Martillo Modelo 946;Equipos de Seguridad;382.84;471.29;FerroMax;Hogar;Neumática;Acero;29/10/2024;Gris;Martillo;;;
Construmax;142;050788543-0;Tornillos Modelo 640;Herramientas Eléctricas;112.49;192.6;PowerFix;Hogar;Medición;Acero;23/11/2024;Negro;Tornillos;;13.0;
Construmax;143;832950387-9;Nivel Modelo 313;Accesorios de Construcción;407.06;747.99;PowerFix;Hogar;Eléctrica;Aluminio;13/6/2024;Blanco;Nivel;;;
Construmax;144;585143601-8;Cinta métrica Modelo 268;Fijaciones y Anclajes;322.83;467.4;BuildPro;Hogar;Seguridad;Plástico;26/7/2024;Blanco;Cinta métrica;;;
Construmax;145;044560920-6;Casco de seguridad Modelo 730;Accesorios de Construcción;343.04;423.24;PowerFix;Profesional;Eléctrica;Madera;11/12/2024;Gris;Casco de seguridad;;;
MaxPro SRL;146;526164117-9;Cinta métrica Modelo 454;Herramientas Eléctricas;21.41;29.91;PowerFix;Profesional;Manual;Plástico;20/5/2024;Verde;Cinta métrica;;14.0;
MaxPro SRL;147;140687974-6;Tornillos Modelo 619;Fijaciones y Anclajes;498.51;804.25;HardyWorks;Profesional;Seguridad;Acero;5/3/2024;Blanco;Tornillos;;;
MaxPro SRL;148;255680021-6;Cutter Modelo 146;Herramientas Eléctricas;149.54;278.09;HardyWorks;Hogar;Seguridad;Madera;25/1/2024;Verde;Cutter;;;
Construmax;149;829647199-X;Clavos Modelo 663;Fijaciones y Anclajes;229.27;301.54;BuildPro;Profesional;Seguridad;Goma;11/12/2024;Rojo;Clavos;;;
MaxPro SRL;150;420965420-5;Nivel Modelo 914;Fijaciones y Anclajes;339.79;488.99;PowerFix;Hogar;Medición;Acero;27/11/2024;Rojo;Nivel;;45.0;
MaxPro SRL;151;398560788-5;Clavos Modelo 386;Fijaciones y Anclajes;173.65;247.22;HardyWorks;Profesional;Manual;Goma;5/6/2024;Amarillo;Clavos;;;
MaxPro SRL;152;299142165-7;Sierra Modelo 109;Accesorios de Construcción;203.04;284.74;HardyWorks;Hogar;Seguridad;Goma;5/2/2024;Rojo;Sierra;;;
MaxPro SRL;153;328426992-4;Martillo Modelo 732;Fijaciones y Anclajes;36.13;53.96;HardyWorks;Hogar;Neumática;Madera;29/12/2024;Naranja;Martillo;;;
MaxPro SRL;154;366420383-6;Taladro Modelo 449;Fijaciones y Anclajes;290.64;562.21;Structo;Profesional;Seguridad;Madera;30/10/2024;Azul;Taladro;;43.0;
Construmax;155;126313707-5;Cutter Modelo 975;Herramientas Manuales;128.58;201.35;PowerFix;Profesional;Neumática;Madera;18/3/2024;Azul;Cutter;;;
Construmax;156;532058311-7;Destornillador Modelo 717;Fijaciones y Anclajes;191.57;338.33;TitanTools;Profesional;Seguridad;Aluminio;5/9/2024;Gris;Destornillador;;;
Construmax;157;568877090-2;Sierra Modelo 276;Fijaciones y Anclajes;214.05;384.25;HardyWorks;Profesional;Eléctrica;Acero;14/8/2024;Negro;Sierra;;;
