empresa;codigoarticulo;codigoparticular;Talle;codigodeposito;Deposito;Stock;fechamodificacion
Emp2;33;633068701-3;4;2;02 - Shooping A;45;9/1/2024
Emp2;33;633068701-3;4;2;02 - Shooping A;35;22/2/2024
Emp2;33;633068701-3;3;3;03 - Shooping B;31;20/1/2024
Emp2;33;633068701-3;2;2;02 - Shooping A;28;6/12/2023
Emp2;34;329260954-2;5;3;03 - Shooping B;11;8/4/2024
Emp2;34;329260954-2;5;2;02 - Shooping A;24;9/12/2023
Emp2;34;329260954-2;2;1;01 - Central;43;11/3/2024
Emp2;34;329260954-2;3;1;01 - Central;16;30/4/2024
Emp1;35;954529232-6;4;3;03 - Shooping B;10;20/12/2023
Emp1;35;954529232-6;1;3;03 - Shooping B;43;3/12/2023
Emp1;35;954529232-6;1;4;04 - Outleet;6;25/12/2023
Emp1;35;954529232-6;3;4;04 - Outleet;45;24/12/2023
Emp1;35;954529232-6;1;4;04 - Outleet;31;17/5/2024
Emp2;36;194335112-0;4;3;03 - Shooping B;50;29/2/2024
Emp2;36;194335112-0;2;3;03 - Shooping B;32;9/12/2023
Emp2;37;376936850-9;1;1;01 - Central;4;2/12/2023
Emp2;37;376936850-9;1;2;02 - Shooping A;45;15/3/2024
Emp2;38;906662294-6;2;4;04 - Outleet;32;21/3/2024
Emp2;38;906662294-6;2;2;02 - Shooping A;4;29/1/2024
Emp2;38;906662294-6;3;2;02 - Shooping A;20;1/2/2024
Emp2;39;464097279-2;1;3;03 - Shooping B;22;18/4/2024
Emp2;39;464097279-2;4;4;04 - Outleet;50;17/1/2024
Emp2;39;464097279-2;3;1;01 - Central;60;2/2/2024
Emp1;40;781180293-7;4;2;02 - Shooping A;16;26/5/2024
Emp1;40;781180293-7;2;2;02 - Shooping A;38;31/1/2024
Emp1;40;781180293-7;3;3;03 - Shooping B;4;6/5/2024
Emp1;40;781180293-7;2;2;02 - Shooping A;11;22/3/2024
Emp1;40;781180293-7;2;4;04 - Outleet;43;26/3/2024
Emp1;41;638836646-5;4;3;03 - Shooping B;17;28/4/2024
Emp1;41;638836646-5;3;1;01 - Central;42;27/4/2024
Emp2;42;287422385-9;3;4;04 - Outleet;53;22/12/2023
Emp2;42;287422385-9;4;2;02 - Shooping A;11;26/3/2024
Emp2;42;287422385-9;2;4;04 - Outleet;47;17/2/2024
Emp2;43;936689876-9;4;1;01 - Central;15;1/1/2024
Emp2;43;936689876-9;1;1;01 - Central;18;24/12/2023
Emp2;43;936689876-9;3;3;03 - Shooping B;27;10/1/2024
Emp2;43;936689876-9;5;2;02 - Shooping A;59;15/4/2024
Emp2;43;936689876-9;1;4;04 - Outleet;47;29/2/2024
Emp1;44;494000004-4;4;4;04 - Outleet;9;23/5/2024
Emp1;44;494000004-4;2;4;04 - Outleet;8;14/12/2023
Emp1;44;494000004-4;2;2;02 - Shooping A;24;8/2/2024
Emp2;45;472523557-1;3;1;01 - Central;14;21/5/2024
Emp2;45;472523557-1;4;4;04 - Outleet;44;11/4/2024
Emp2;45;472523557-1;3;2;02 - Shooping A;25;20/1/2024
Emp2;45;472523557-1;3;3;03 - Shooping B;44;7/4/2024
Emp2;45;472523557-1;2;3;03 - Shooping B;4;14/3/2024
Emp1;46;308651802-2;4;2;02 - Shooping A;13;27/4/2024
Emp1;46;308651802-2;1;2;02 - Shooping A;42;23/3/2024
Emp1;46;308651802-2;3;3;03 - Shooping B;16;9/4/2024
Emp1;46;308651802-2;3;4;04 - Outleet;38;8/5/2024
Emp1;46;308651802-2;3;3;03 - Shooping B;26;1/4/2024
Emp1;46;308651802-2;3;2;02 - Shooping A;34;22/12/2023
Emp1;46;308651802-2;5;1;01 - Central;24;16/2/2024
Emp1;47;893637173-8;4;4;04 - Outleet;48;7/2/2024
Emp1;47;893637173-8;3;2;02 - Shooping A;7;26/12/2023
Emp1;47;893637173-8;4;2;02 - Shooping A;35;25/4/2024
Emp2;48;125121246-8;4;2;02 - Shooping A;38;26/2/2024
Emp2;48;125121246-8;2;4;04 - Outleet;33;28/1/2024
Emp2;48;125121246-8;4;2;02 - Shooping A;35;11/5/2024
Emp1;49;366023302-1;4;3;03 - Shooping B;25;6/4/2024
Emp1;49;366023302-1;4;2;02 - Shooping A;6;29/2/2024
Emp1;49;366023302-1;3;4;04 - Outleet;19;25/3/2024
Emp1;49;366023302-1;5;1;01 - Central;35;16/1/2024
Emp1;49;366023302-1;3;3;03 - Shooping B;14;12/12/2023
Emp2;50;569484750-4;5;4;04 - Outleet;24;9/3/2024
Emp2;50;569484750-4;1;3;03 - Shooping B;39;8/2/2024
Emp2;50;569484750-4;5;2;02 - Shooping A;22;18/4/2024
Emp2;50;569484750-4;2;1;01 - Central;58;27/2/2024
Emp2;50;569484750-4;2;3;03 - Shooping B;9;29/4/2024
Emp2;51;750077709-4;3;3;03 - Shooping B;20;13/2/2024
Emp2;51;750077709-4;3;1;01 - Central;50;1/3/2024
Emp2;51;750077709-4;1;4;04 - Outleet;8;3/2/2024
Emp1;52;215579979-9;5;3;03 - Shooping B;6;10/5/2024
Emp1;52;215579979-9;3;2;02 - Shooping A;49;2/1/2024
Emp1;52;215579979-9;1;4;04 - Outleet;60;6/1/2024
Emp2;53;658335650-3;4;3;03 - Shooping B;42;13/1/2024
Emp2;53;658335650-3;3;3;03 - Shooping B;24;12/1/2024
Emp2;53;658335650-3;2;2;02 - Shooping A;49;12/2/2024
Emp1;54;547110613-X;2;4;04 - Outleet;55;19/2/2024
Emp1;54;547110613-X;3;1;01 - Central;12;28/2/2024
Emp1;54;547110613-X;1;2;02 - Shooping A;43;19/2/2024
Emp2;55;993262171-4;1;3;03 - Shooping B;47;1/1/2024
Emp2;55;993262171-4;1;3;03 - Shooping B;53;16/4/2024
Emp2;55;993262171-4;4;4;04 - Outleet;30;25/12/2023
Emp2;55;993262171-4;5;4;04 - Outleet;8;6/12/2023
Emp2;55;993262171-4;5;4;04 - Outleet;40;28/4/2024
Emp1;56;246562491-1;3;4;04 - Outleet;30;4/3/2024
Emp1;56;246562491-1;3;4;04 - Outleet;55;10/1/2024
Emp1;57;705030141-8;4;1;01 - Central;41;1/3/2024
Emp1;57;705030141-8;3;3;03 - Shooping B;9;14/2/2024
Emp1;57;705030141-8;2;4;04 - Outleet;11;25/2/2024
Emp1;57;705030141-8;1;1;01 - Central;22;9/12/2023
Emp1;57;705030141-8;1;3;03 - Shooping B;36;13/4/2024
Emp1;57;705030141-8;1;4;04 - Outleet;44;31/12/2023
Emp1;57;705030141-8;4;3;03 - Shooping B;27;8/4/2024
Emp1;57;705030141-8;4;4;04 - Outleet;37;13/1/2024
Emp1;57;705030141-8;3;2;02 - Shooping A;29;10/12/2023
Emp1;57;705030141-8;3;4;04 - Outleet;2;23/12/2023
Emp2;58;377682933-8;3;2;02 - Shooping A;5;5/4/2024
Emp2;58;377682933-8;3;1;01 - Central;33;5/12/2023
Emp2;58;377682933-8;1;4;04 - Outleet;13;9/4/2024
Emp2;58;377682933-8;4;3;03 - Shooping B;17;1/2/2024
Emp2;58;377682933-8;4;1;01 - Central;6;28/2/2024
Emp2;58;377682933-8;4;3;03 - Shooping B;17;19/4/2024
Emp2;58;377682933-8;3;1;01 - Central;55;14/5/2024
Emp2;58;377682933-8;4;3;03 - Shooping B;27;13/5/2024
Emp2;58;377682933-8;2;2;02 - Shooping A;60;27/2/2024
Emp2;58;377682933-8;1;2;02 - Shooping A;55;12/2/2024
Emp1;59;265488830-4;4;2;02 - Shooping A;46;15/4/2024
Emp1;60;258700130-7;3;4;04 - Outleet;4;21/4/2024
Emp1;60;258700130-7;2;3;03 - Shooping B;27;24/12/2023
Emp1;60;258700130-7;3;2;02 - Shooping A;23;19/4/2024
Emp1;60;258700130-7;5;1;01 - Central;48;12/4/2024
Emp1;60;258700130-7;4;1;01 - Central;13;22/4/2024
Emp1;60;258700130-7;4;3;03 - Shooping B;21;11/1/2024
Emp1;60;258700130-7;5;1;01 - Central;56;15/3/2024
Emp1;60;258700130-7;3;2;02 - Shooping A;53;13/1/2024
Emp1;60;258700130-7;4;4;04 - Outleet;8;1/4/2024
Emp1;61;395596398-5;2;1;01 - Central;20;27/12/2023
Emp1;61;395596398-5;3;3;03 - Shooping B;5;25/2/2024
Emp1;61;395596398-5;4;1;01 - Central;29;2/5/2024
Emp1;61;395596398-5;2;4;04 - Outleet;13;2/5/2024
Emp1;61;395596398-5;2;3;03 - Shooping B;53;26/5/2024
Emp1;61;395596398-5;2;3;03 - Shooping B;16;3/2/2024
Emp1;61;395596398-5;5;2;02 - Shooping A;51;22/1/2024
Emp1;61;395596398-5;4;2;02 - Shooping A;60;10/12/2023
Emp1;61;395596398-5;1;4;04 - Outleet;14;15/12/2023
Emp2;62;330833117-9;2;2;02 - Shooping A;11;8/3/2024
Emp2;62;330833117-9;3;3;03 - Shooping B;12;14/3/2024
Emp2;62;330833117-9;3;1;01 - Central;58;5/5/2024
Emp2;63;263421367-0;2;3;03 - Shooping B;8;14/12/2023
Emp2;63;263421367-0;2;3;03 - Shooping B;10;19/3/2024
Emp2;63;263421367-0;4;3;03 - Shooping B;45;4/5/2024
Emp2;63;263421367-0;3;2;02 - Shooping A;52;24/3/2024
Emp2;63;263421367-0;3;2;02 - Shooping A;23;31/1/2024
Emp2;64;782783134-6;2;4;04 - Outleet;12;15/5/2024
Emp2;64;782783134-6;5;2;02 - Shooping A;38;8/2/2024
Emp1;65;604505944-1;3;2;02 - Shooping A;57;9/3/2024
Emp1;65;604505944-1;3;3;03 - Shooping B;49;17/4/2024
Emp1;65;604505944-1;3;1;01 - Central;40;28/1/2024
Emp1;65;604505944-1;5;4;04 - Outleet;42;23/4/2024
Emp1;65;604505944-1;3;4;04 - Outleet;25;15/5/2024
Emp1;65;604505944-1;2;2;02 - Shooping A;22;21/1/2024
Emp1;65;604505944-1;5;1;01 - Central;26;30/3/2024
Emp1;65;604505944-1;3;4;04 - Outleet;37;23/12/2023
Emp1;66;681913453-3;3;2;02 - Shooping A;14;18/1/2024
Emp2;67;695377387-1;5;4;04 - Outleet;23;17/12/2023
Emp2;67;695377387-1;3;2;02 - Shooping A;30;15/12/2023
Emp2;67;695377387-1;5;1;01 - Central;50;12/5/2024
Emp2;67;695377387-1;4;2;02 - Shooping A;27;13/5/2024
Emp2;68;093482139-9;3;2;02 - Shooping A;31;30/3/2024
Emp2;68;093482139-9;2;2;02 - Shooping A;58;2/1/2024
Emp2;68;093482139-9;2;2;02 - Shooping A;22;18/1/2024
Emp2;68;093482139-9;4;4;04 - Outleet;42;2/1/2024
Emp2;68;093482139-9;3;3;03 - Shooping B;39;18/12/2023
Emp1;69;680096173-6;4;4;04 - Outleet;48;4/1/2024
Emp1;69;680096173-6;1;3;03 - Shooping B;35;20/5/2024
Emp1;69;680096173-6;3;2;02 - Shooping A;4;20/12/2023
Emp1;69;680096173-6;3;2;02 - Shooping A;35;7/3/2024
Emp1;69;680096173-6;2;4;04 - Outleet;56;5/12/2023
Emp1;70;285272728-5;4;2;02 - Shooping A;28;19/4/2024
Emp1;71;439953290-4;2;1;01 - Central;26;9/1/2024
Emp1;71;439953290-4;4;3;03 - Shooping B;32;17/3/2024
Emp1;71;439953290-4;5;2;02 - Shooping A;4;2/12/2023
Emp1;71;439953290-4;2;2;02 - Shooping A;27;12/5/2024
Emp1;71;439953290-4;2;2;02 - Shooping A;42;7/1/2024
Emp1;71;439953290-4;3;1;01 - Central;18;18/12/2023
Emp1;72;802355334-8;3;3;03 - Shooping B;5;22/5/2024
Emp1;72;802355334-8;2;4;04 - Outleet;25;18/12/2023
Emp1;72;802355334-8;3;4;04 - Outleet;25;21/1/2024
Emp1;72;802355334-8;3;4;04 - Outleet;43;25/5/2024
Emp1;73;802049483-9;2;3;03 - Shooping B;3;11/12/2023
Emp1;73;802049483-9;3;4;04 - Outleet;21;3/2/2024
Emp1;73;802049483-9;4;1;01 - Central;33;7/4/2024
Emp1;73;802049483-9;3;3;03 - Shooping B;41;21/5/2024
Emp1;73;802049483-9;4;1;01 - Central;20;24/3/2024
Emp1;74;499439460-1;2;4;04 - Outleet;23;17/1/2024
Emp1;74;499439460-1;2;1;01 - Central;16;30/3/2024
Emp1;74;499439460-1;4;2;02 - Shooping A;15;7/4/2024
Emp1;74;499439460-1;4;4;04 - Outleet;47;20/12/2023
Emp1;74;499439460-1;3;4;04 - Outleet;6;28/4/2024
Emp1;74;499439460-1;5;3;03 - Shooping B;40;30/5/2024
Emp1;74;499439460-1;3;1;01 - Central;27;28/2/2024
Emp1;75;295712580-3;4;2;02 - Shooping A;11;1/3/2024
Emp1;75;295712580-3;3;2;02 - Shooping A;57;6/1/2024
Emp1;75;295712580-3;4;3;03 - Shooping B;5;25/3/2024
Emp1;75;295712580-3;4;1;01 - Central;58;5/5/2024
Emp1;76;890786912-X;2;1;01 - Central;2;30/12/2023
Emp1;76;890786912-X;3;1;01 - Central;5;2/3/2024
Emp1;76;890786912-X;3;4;04 - Outleet;26;28/12/2023
Emp2;77;553151547-2;5;4;04 - Outleet;48;5/12/2023
Emp2;77;553151547-2;3;1;01 - Central;37;4/5/2024
Emp1;78;329633900-0;3;2;02 - Shooping A;21;12/1/2024
Emp1;78;329633900-0;3;2;02 - Shooping A;24;13/5/2024
Emp1;78;329633900-0;4;2;02 - Shooping A;35;10/5/2024
Emp1;78;329633900-0;3;2;02 - Shooping A;26;9/3/2024
Emp1;78;329633900-0;4;2;02 - Shooping A;3;15/5/2024
Emp1;78;329633900-0;3;3;03 - Shooping B;30;5/2/2024
Emp1;78;329633900-0;3;3;03 - Shooping B;29;15/4/2024
Emp1;78;329633900-0;2;1;01 - Central;33;12/2/2024
Emp1;78;329633900-0;4;2;02 - Shooping A;52;4/1/2024
Emp1;79;449069231-5;2;4;04 - Outleet;17;22/5/2024
Emp1;79;449069231-5;4;1;01 - Central;35;18/5/2024
Emp1;79;449069231-5;2;3;03 - Shooping B;39;30/5/2024
Emp1;80;393445888-2;3;2;02 - Shooping A;38;29/2/2024
Emp1;80;393445888-2;4;3;03 - Shooping B;54;30/1/2024
Emp1;80;393445888-2;3;3;03 - Shooping B;47;13/2/2024
Emp1;80;393445888-2;3;4;04 - Outleet;11;30/3/2024
Emp1;80;393445888-2;2;4;04 - Outleet;27;10/5/2024
Emp2;81;316734277-3;3;1;01 - Central;11;4/2/2024
Emp2;81;316734277-3;4;2;02 - Shooping A;51;21/12/2023
Emp1;82;274708645-3;3;2;02 - Shooping A;24;12/5/2024
Emp1;82;274708645-3;4;2;02 - Shooping A;14;11/2/2024
Emp1;82;274708645-3;3;2;02 - Shooping A;52;10/2/2024
Emp1;82;274708645-3;2;1;01 - Central;3;17/5/2024
Emp1;82;274708645-3;1;4;04 - Outleet;46;16/2/2024
Emp1;82;274708645-3;5;3;03 - Shooping B;47;3/1/2024
Emp1;82;274708645-3;1;1;01 - Central;44;18/5/2024
Emp1;82;274708645-3;3;4;04 - Outleet;54;7/5/2024
Emp1;82;274708645-3;5;3;03 - Shooping B;48;5/1/2024
Emp1;83;111000518-0;3;2;02 - Shooping A;31;26/2/2024
Emp1;83;111000518-0;3;4;04 - Outleet;40;27/5/2024
Emp1;83;111000518-0;2;3;03 - Shooping B;59;23/12/2023
Emp1;83;111000518-0;4;3;03 - Shooping B;20;3/12/2023
Emp2;84;382920074-9;2;3;03 - Shooping B;22;7/4/2024
Emp2;84;382920074-9;3;2;02 - Shooping A;10;5/12/2023
Emp2;84;382920074-9;2;1;01 - Central;44;26/4/2024
Emp2;84;382920074-9;3;1;01 - Central;13;17/2/2024
Emp2;84;382920074-9;3;3;03 - Shooping B;8;7/4/2024
Emp2;84;382920074-9;1;1;01 - Central;38;13/3/2024
Emp2;84;382920074-9;5;4;04 - Outleet;33;7/12/2023
Emp2;84;382920074-9;3;3;03 - Shooping B;39;26/1/2024
Emp2;84;382920074-9;3;3;03 - Shooping B;49;26/12/2023
Emp2;85;229074161-2;4;3;03 - Shooping B;41;24/5/2024
Emp2;85;229074161-2;2;1;01 - Central;10;5/5/2024
Emp2;85;229074161-2;2;1;01 - Central;56;8/4/2024
Emp2;85;229074161-2;5;2;02 - Shooping A;10;28/12/2023
Emp2;85;229074161-2;3;4;04 - Outleet;25;23/3/2024
Emp2;85;229074161-2;1;2;02 - Shooping A;24;2/1/2024
Emp1;86;674367527-X;4;3;03 - Shooping B;30;10/5/2024
Emp1;86;674367527-X;3;2;02 - Shooping A;50;17/3/2024
Emp2;87;314187053-5;3;3;03 - Shooping B;49;11/5/2024
Emp2;87;314187053-5;1;1;01 - Central;12;22/3/2024
Emp2;87;314187053-5;5;4;04 - Outleet;47;7/12/2023
Emp2;87;314187053-5;5;1;01 - Central;27;23/4/2024
Emp2;87;314187053-5;5;3;03 - Shooping B;24;5/3/2024
Emp2;87;314187053-5;4;1;01 - Central;7;6/5/2024
Emp2;87;314187053-5;2;4;04 - Outleet;51;1/2/2024
Emp2;87;314187053-5;2;4;04 - Outleet;36;2/2/2024
Emp2;87;314187053-5;3;2;02 - Shooping A;30;1/12/2023
Emp2;88;025276845-0;2;4;04 - Outleet;14;26/4/2024
Emp2;88;025276845-0;4;2;02 - Shooping A;23;20/4/2024
Emp2;88;025276845-0;1;2;02 - Shooping A;55;25/5/2024
Emp2;88;025276845-0;2;2;02 - Shooping A;3;16/12/2023
Emp2;89;069135474-X;5;4;04 - Outleet;31;30/12/2023
Emp2;89;069135474-X;5;1;01 - Central;13;14/3/2024
Emp2;89;069135474-X;3;3;03 - Shooping B;51;14/2/2024
Emp2;89;069135474-X;4;4;04 - Outleet;9;5/1/2024
Emp1;90;970625599-0;3;2;02 - Shooping A;34;19/4/2024
Emp1;90;970625599-0;5;3;03 - Shooping B;3;22/5/2024
Emp1;90;970625599-0;2;3;03 - Shooping B;14;29/4/2024
Emp1;90;970625599-0;4;2;02 - Shooping A;52;2/3/2024
Emp1;90;970625599-0;5;1;01 - Central;17;24/2/2024
Emp2;91;788394317-0;4;3;03 - Shooping B;20;27/5/2024
Emp2;91;788394317-0;4;2;02 - Shooping A;58;25/1/2024
Emp2;91;788394317-0;1;3;03 - Shooping B;7;19/3/2024
Emp2;91;788394317-0;2;3;03 - Shooping B;7;31/12/2023
Emp2;91;788394317-0;1;1;01 - Central;35;14/2/2024
Emp1;92;361086600-4;2;4;04 - Outleet;21;1/4/2024
Emp1;92;361086600-4;5;1;01 - Central;44;18/2/2024
Emp1;92;361086600-4;1;1;01 - Central;51;16/3/2024
Emp1;93;477014506-3;3;4;04 - Outleet;20;25/5/2024
Emp1;93;477014506-3;4;1;01 - Central;26;27/5/2024
